Session Number	Query
20938485891	brain entrainment
20938485892	the boy was screaming
20938485893	screaming coming from house
20938485894	nail screwing 
20938485895	air scriking
20938485896	definition of scorning
20938485897	the boy was screaming
20938485898	screaming coming from house
20938485899	air scriking
20938485900	definition of scorning
20938485901	definition of scerning
20938485902	air scriking
20938485903	the boy was screaming
20938485904	screaming coming from house
20938485905	nail screwing 
20938485906	definition of scerning
20938485907	definition of scorning
20938485908	the boy was screaming
20938485909	screaming coming from house
20938485910	nail screwing 
20938485911	definition of scerning
20938485912	definition of scorning
20938485913	air scriking
20938485914	nail screwing 
20938485796	movie srreening in july
20938485797	let's go to prisson movie scrrening
20938485798	let's go to prisson actoor
20938485799	criminal scrrning done before coort
20938485800	open coort case
20938485801	judge announced in coort
20938485802	people's coort
20938485803	jury sentence announced in coort
20938485804	coort russel went to prisson 
20938485805	coort warner wealth
20938485806	coort warner acttor
20938485807	coort
20938485808	agreement settled in coort
20938485809	shooting happened in coort
20938485810	people's coort
20938485811	16 keys and 1 coort
20938485812	coort
20938485813	agreement settled in coort
20938485814	jury sentence announced in coort
20938485815	people's coort
20938485816	shooting happened in coort
20938485817	string coort
20938485818	coort
20938485819	math coort
20938485820	phone without a coort
20938485821	jury sentence announced in coort
20938485822	coort russel entertanment
20938485823	people's coort acttor
20938485824	people's coort
20938485825	people's coort
20938485826	coort
20938485827	shooting happened in coort
20938485828	coort represantative
20938485829	coort acting represantative
20938485830	bar coort
20938485831	agreement settled in coort
20938485832	coort is good
20938485833	jury sentence announced in coort
20938485834	pie coort
20938485835	jury sentence announced in coort
20938485836	phone without a coort
20938485837	salad with coort
20938485838	shooting happened in coort
20938485839	coort
20938485840	coort
20938485841	cesar salad with coort
20938485842	coort doughlas
20938485843	agreement settled in coort
20938485844	coort russel movie acttor
20938485845	entertanment group
20938485846	entertanment acttor
20938485847	entertanment scrrening
20938485848	movie entertanment
20938485849	film festival entertanment
20938485850	brain entertanment
20938485851	air entertanment
20938485852	entertanment scrrening
20938485853	open for your entertanment
20938485854	the process of entertanment
20938485855	entertanment acttor
20938485856	movie entertanment acttor
20938485857	entertanment show with coort russel
20938485858	entertanment group
20938485859	entertanment show with coort russel
20938485860	brain entertanment
20938485861	entertanment show with coort russel
20938485862	tv shows category entertanment
20938485863	movie entertanment acttor
20938485864	brain entertanment
20938485865	entertanment scrrening
20938485866	entertanment scrrening
20938485867	entertanment show with coort russel
20938485868	the process of entertanment
20938485869	entertanment acttor
20938485870	entertanment acttor
20938485871	air entertanment
20938485872	brain entertanment
20938485873	entertanment group
20938485874	brain entertanment
20938485875	entertanment show with coort russel
20938485876	movie entertanment acttor
20938485877	air entertanment
20938485878	entertanment acttor
20938485879	entertanment acttor
20938485880	entertanment show with coort russel
20938485881	entertanment group
20938485882	the process of entertanment
20938485883	entertanment scrrening
20938485884	entertanment group
20938485885	entertanment show with coort russel
20938485886	brain entertanment
20938485887	movie entertanment acttor
20938485888	air entertanment
20938485889	entertanment scrrening
20938485890	the process of entertanment
20938485891	brain entertanment
20938485892	the boy was scrrening
20938485893	scrrening coming from house
20938485894	nail scrrening 
20938485895	air scrrening
20938485896	definition of scrrening
20938485897	the boy was scrrening
20938485898	scrrening coming from house
20938485899	air scrrening
20938485900	definition of scrrening
20938485901	definition of scrrening
20938485902	air scrrening
20938485903	the boy was scrrening
20938485904	scrrening coming from house
20938485905	nail scrrening 
20938485906	definition of scrrening
20938485907	definition of scrrening
20938485908	the boy was scrrening
20938485909	scrrening coming from house
20938485910	nail scrrening 
20938485911	definition of scrrening
20938485912	definition of scrrening
20938485913	air scrrening
20938485914	nail scrrening 
20938485750	scheduled movie screening
20938485789	prisson
20938485790	prisson
20938485791	prisson
20938485792	prisson
20938485793	prisson
20938485794	prisson
20938485744	prisson
20938485743	let's go to prisson
20938485742	add precision to the equation
20938485734	Sentenced to prisson
20938485739	murderer put in prisson
20938485740	precision and recall
20938485741	precision formula
20938485753	prisson
20938485756	prisson
20938485749	prisson walls
20938485751	prisson limit
20938485752	inmates sent to prisson
20938485800	open ciurt case
20938485801	judge announced in ciurt
20938485802	people's ciurt
20938485803	jury sentence announced in ciurt
20938485804	curt russel went to prisson 
20938485805	curt warner wealth
20938485806	curt warner actoor
20938485807	ciurt
20938485808	agreement settled in ciurt
20938485809	shooting happened in ciurt
20938485810	people's ciurt
20938485811	16 keys and 1 chord
20938485812	chors
20938485813	agreement settled in ciurt
20938485814	jury sentence announced in ciurt
20938485815	people's ciurt
20938485816	shooting happened in ciurt
20938485817	string chord
20938485818	ciurt
20938485819	math chart
20938485820	phone without a chord
20938485821	jury sentence announced in ciurt
20938485822	curt russel entertanment
20938485823	people's ciurt actoor
20938485824	people's ciurt
20938485825	people's ciurt
20938485826	ciurt
20938485827	shooting happened in ciurt
20938485828	ciurt represantative
20938485829	ciurt acting represantative
20938485830	bar chart
20938485831	agreement settled in ciurt
20938485832	crout is good
20938485833	jury sentence announced in ciurt
20938485834	pie chart
20938485835	jury sentence announced in ciurt
20938485836	phone without a chord
20938485837	salad with crout
20938485838	shooting happened in ciurt
20938485839	ciurt
20938485840	ciurt
20938485851	movie entrainment
20938485841	cesar salad with crout
20938485842	curt doughlas
20938485843	agreement settled in ciurt
20938485844	curt russel movie actoor
20938485845	entertanment group
20938485846	entertanment acttor
20938485847	entertanment scrrening
20938485848	movie entertanment
20938485849	film festival entertanment
20938485850	brain 
20938485851	air entrainment
20938485852	entertanment scrrening
20938485853	open for your entertanment
20938485854	the process of entrainment
20938485855	entertanment actoor
20938485856	movie entertanment actoor
20938485857	entertanment show with curt russel
20938485858	entertanment group
20938485859	entertanment show with curt russel
20938485860	brain entrainment
20938485861	entertanment show with curt russel
20938485862	tv shows category entertanment
20938485863	movie entertanment actoor
20938485864	brain entrainment
20938485865	entertanment screening
20938485866	entertanment screening
20938485867	entertanment show with curt russel
20938485868	the process of entrainment
20938485869	entertanment actoor
20938485870	entertanment actoor
20938485871	air entrainment
20938485872	brain entrainment
20938485873	entertanment group
20938485874	entertanment group
20938485875	entertanment show with curt russel
20938485876	movie entertanment actoor
20938485877	air entrainment
20938485878	entertanment actoor
20938485879	entertanment actoor
20938485880	entertanment show with curt russel
20938485881	entertanment group
20938485882	the process of entrainment
20938485883	entertanment scrrening
20938485884	entertanment group
20938485851	movi entrainment
